title,price,address,district,lat,lon,Общая площадь,Аренда части,Этаж,Высота потолков,Отделка,Мощность электросети,Планировка,Тип аренды,Арендные каникулы,Минимальный срок аренды,Платежи включены,Тип здания,Парковка,url,Класс здания,Количество парковочных мест,Вход,Отопление,Отдельный вход,Удалённость от дороги,Количество мест в коворкинге,Тип места,Работа в выходные,Режим работы с,Режим работы до,Удобства включены в стоимость,Ключевые удобства,Доступное оборудование,Еда и напитки,Услуги,Другое,Круглосуточный режим
"Офис, 14 м²",12000,"Иркутская обл., Иркутск, ул. Розы Люксембург, 182",р-н Ленинский,52.35559845,104.1619034,14 м²,возможна,4,2.8 м,чистовая,5 кВт,кабинетная,прямая,есть,3 мес.,"коммунальные, эксплуатационные",административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_14_m_7445949039?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"1 этаж,Центр (13,5; 24; 36м2)",1580,"Иркутская обл., Иркутск, ул. Лапина, 8",р-н Правобережный,52.279655,104.285448,163 м²,возможна,1,3.5 м,офисная,nan,кабинетная,прямая,есть,3 мес.,"коммунальные, эксплуатационные",административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/1_etazhtsentr_135_24_36m2_572289773?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Офис, 12 м²",12000,"Иркутская обл., Иркутск, ул. Литвинова, 20",р-н Правобережный,52.28094482,104.2943878,12 м²,nan,2,3 м,офисная,nan,кабинетная,субаренда,есть,3 мес.,"коммунальные, эксплуатационные",бизнес-центр,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/ofis_12_m_3572144382?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,B,50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Свободного назначения, 5000 м²",450,"Иркутская обл., Иркутск, Трактовая ул., 5Б",р-н Ленинский,52.31208864428532,104.23530035449218,5000 м²,возможна,1,6 м,чистовая,"10 кВт, можно увеличить",nan,прямая,есть,12 мес.,"коммунальные, эксплуатационные",торговый центр,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_5000_m_4372834622?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,10000,с улицы,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Кладовая в аренду Октябрьский район 4,5,6,7,8,9,10",1300,"Иркутская обл., Иркутск, Байкальская ул., 424",р-н Октябрьский,52.252532,104.381532,4 м²,nan,цокольный,2.4 м,чистовая,nan,nan,прямая,есть,3 мес.,эксплуатационные,жилой дом,"на улице, бесплатная",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/kladovaya_v_arendu_oktyabrskiy_rayon_45678910_4085318653?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,nan,с улицы,центральное,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Производство, 10000 м²",1,"Иркутская обл., Иркутск, ул. Розы Люксембург, 222Б/1",р-н Ленинский,52.366426,104.133894,10000 м²,nan,1,nan,nan,nan,nan,прямая,nan,1 мес.,nan,другой,nan,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/proizvodstvo_10000_m_7392458263?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Склад,500,"Иркутская обл., Иркутск, ул. Литвинова, 20",р-н Правобережный,52.28094482,104.2943878,36 м²,возможна,2,2 м,чистовая,nan,nan,прямая,есть,1 мес.,коммунальные,административное здание,"на улице, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/sklad_7443541921?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,30,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Помещение под склад/офис/мастерскую, 254 м²",25400,"Иркутская обл., Иркутск, Ракитная ул., 22",р-н Свердловский,52.275891,104.210717,254 м²,nan,2,4.2 м,без отделки,"80 кВт, можно увеличить",nan,прямая,есть,12 мес.,"коммунальные, эксплуатационные",административное здание,на улице,https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/pomeschenie_pod_skladofismasterskuyu_254_m_357637995?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,nan,с улицы,нет,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
"Второй этаж, с окнами, от 16 до 250 м²",18999,"Иркутская обл., Иркутск, ул. Октябрьской Революции, 11А",р-н Правобережный,52.29009050408757,104.30438187525628,16 м²,nan,2,3.2 м,чистовая,nan,nan,прямая,есть,nan,"коммунальные, эксплуатационные",административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/vtoroy_etazh_s_oknami_ot_16_do_250_m_3866549595?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,100,с улицы,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Свободного назначения,50000,"Иркутская обл., Иркутск, Кожзаводская ул., 4/1",р-н Правобережный,52.31005859,104.2931137,72 м²,nan,1,6 м,без отделки,30 кВт,nan,прямая,есть,nan,nan,административное здание,"на улице, бесплатная, подходит для грузового транспорта",https://www.avito.ru/irkutsk/kommercheskaya_nedvizhimost/svobodnogo_naznacheniya_7442563251?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJMQ1ZuR1RocmlZUkxKMGRKIjt9V2ANnz8AAAA,nan,4,со двора,nan,есть,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
