Название здания,Полный адрес,Цена,Цена за квадратный метр,Площадь (м²),Тип здания,lat,lon
Офис,"Иркутская обл., Иркутск, ул. Розы Люксембург, 182",12000,857.1428571428571,14.0,административное здание,52.35559845,104.1619034
Другое,"Иркутская обл., Иркутск, ул. Лапина, 8",1580,9.693251533742332,163.0,административное здание,52.279655,104.285448
Офис,"Иркутская обл., Иркутск, ул. Литвинова, 20",12000,1000.0,12.0,бизнес-центр,52.28094482,104.2943878
Свободного назначения,"Иркутская обл., Иркутск, Трактовая ул., 5Б",450,0.09,5000.0,торговый центр,52.31208864428532,104.23530035449218
Другое,"Иркутская обл., Иркутск, Байкальская ул., 424",1300,325.0,4.0,жилой дом,52.252532,104.381532
Другое,"Иркутская обл., Иркутск, ул. Розы Люксембург, 222Б/1",1,0.0001,10000.0,другой,52.366426,104.133894
Склад,"Иркутская обл., Иркутск, ул. Литвинова, 20",500,13.88888888888889,36.0,административное здание,52.28094482,104.2943878
Офис,"Иркутская обл., Иркутск, Ракитная ул., 22",25400,100.0,254.0,административное здание,52.275891,104.210717
Другое,"Иркутская обл., Иркутск, ул. Октябрьской Революции, 11А",18999,1187.4375,16.0,административное здание,52.29009050408757,104.30438187525628
Свободного назначения,"Иркутская обл., Иркутск, Кожзаводская ул., 4/1",50000,694.4444444444445,72.0,административное здание,52.31005859,104.2931137
Склад,"Иркутская обл., Иркутск, ул. Розы Люксембург, 222Б/1",1,0.0001,10000.0,другой,52.36641719676497,104.1337968986806
Свободного назначения,"Иркутская обл., Иркутск, ул. Лермонтова, 61",130000,1264.591439688716,102.8,жилой дом,52.269653,104.257807
Склад,"Иркутская обл., Иркутский муниципальный округ, с. Мамоны, Центральная ул., 45",600,1.3043478260869565,460.0,другой,52.323552,104.182465
Свободного назначения,"Иркутская обл., Иркутск, ул. Зверева, 1/2",120000,833.3333333333334,144.0,жилой дом,52.26702428046098,104.32807889814752
Свободного назначения,"Иркутская обл., Иркутск, Горка, 8/15А",450,0.28125,1600.0,другой,52.36905961433187,104.1563254768252
Свободного назначения,"Иркутская обл., Иркутск, Ракитная ул., 22",50700,393.0232558139535,129.0,административное здание,52.275891,104.210717
Свободного назначения,"Иркутская обл., Иркутск, Верхняя наб., 133",84000,1400.0,60.0,жилой дом,52.258563,104.303477
Офис,"Иркутская обл., Иркутск, ул. Баррикад, 120",30000,2500.0,12.0,другой,52.2934227,104.3750534
Офис,"Иркутская обл., Иркутск, Советская ул., 109Г",132000,1100.0,120.0,бизнес-центр,52.280773,104.338584
Свободного назначения,"Иркутская обл., Иркутск, Верхняя наб., 133",227670,1792.6771653543308,127.0,жилой дом,52.258563,104.303477
Офис,"Иркутская обл., Иркутск, ул. Степана Разина, 6",900,28.125,32.0,бизнес-центр,52.285869,104.272189
Свободного назначения,"Иркутская обл., Иркутск, ул. Сергеева, 3/1",550,0.27872092433993817,1973.3,бизнес-центр,52.267608,104.221048
Торговая площадь,"Иркутская обл., Иркутск, ул. Свердлова, 22",1100,11.0,100.0,жилой дом,52.28503036,104.2839127
Офис,"Иркутская обл., Иркутск, Полярная ул., 117А",8360,643.0769230769231,13.0,административное здание,52.342521,104.263889
Торговая площадь,"Иркутская обл., Иркутск, Волжская ул., 9",70000,4666.666666666667,15.0,другой,52.264395,104.314527
Офис,"Иркутская обл., Иркутск, ул. Лермонтова, 81/14",19000,1266.6666666666667,15.0,жилой дом,52.2652891512196,104.261323500413
Торговая площадь,"Иркутская обл., Иркутск, Байкальская ул., 174А",85000,1700.0,50.0,торговый центр,52.26111,104.317949
Офис,"Иркутская обл., Иркутск, ул. Литвинова, 16",900,90.0,10.0,торговый центр,52.281177709840414,104.29261330422972
Склад,"Иркутская обл., Иркутск, ул. Воровского, 29",30000,300.0,100.0,другой,52.33268738,104.2552261
Офис,"Иркутская обл., Иркутск, ул. Франк-Каменецкого, 19",28300,786.1111111111111,36.0,бизнес-центр,52.2899323591344,104.299438255674
Склад,"Иркутская обл., Иркутск, ул. Воровского, 19Б",300,0.42857142857142855,700.0,другой,52.339071,104.24939
Другое,"Иркутская обл., Иркутск, Полярная ул., 95",250000,454.54545454545456,550.0,административное здание,52.334647,104.267563
Офис,"Иркутская обл., Иркутск, ул. Кожова, 22",1800,0.3,6000.0,бизнес-центр,52.270987,104.290551
Другое,"Иркутская обл., Иркутск, ул. Декабрьских Событий, 78И",1000,8.064516129032258,124.0,административное здание,52.28539658,104.3026428
Склад,"Иркутская обл., Иркутский муниципальный округ, с. Пивовариха, Дорожная ул., 1",378000,600.0,630.0,другой,52.274078,104.457152
Свободного назначения,"Иркутская обл., Иркутск, Советская ул., 115/1",95200,1360.0,70.0,жилой дом,52.28004,104.343659
Офис,"Иркутская обл., Иркутск, ул. Свердлова, 11",20000,1000.0,20.0,жилой дом,52.283115,104.276851
Другое,"Иркутская обл., Иркутск, Старо-Кузьмихинская ул., 91/1",1000,3.3333333333333335,300.0,административное здание,52.239734,104.304582
Свободного назначения,"Иркутская обл., Иркутск, Космический пр., 5",10000,1250.0,8.0,жилой дом,52.28248215,104.3418961
Свободного назначения,"Иркутская обл., Иркутск, Депутатская ул., 75/1",16000,1066.6666666666667,15.0,жилой дом,52.264401,104.331765
Офис,"Иркутская обл., Иркутск, ул. Сурнова, 22",52000,412.6984126984127,126.0,административное здание,52.30904,104.294586
Офис,"Иркутская обл., Иркутск, ул. Карла Маркса, 41",20000,909.0909090909091,22.0,жилой дом,52.288061,104.29185
Офис,"Иркутская обл., Иркутск, Красноярская ул., 31/1",1200,1200.0,1.0,бизнес-центр,52.279274,104.330445
Свободного назначения,"Иркутская обл., Иркутск, ул. Тимирязева, 18",256880,800.0,321.1,другой,52.280167,104.295959
Свободного назначения,"Иркутская обл., Иркутск, б-р Рябикова, 36/3",11000,916.6666666666666,12.0,жилой дом,52.261535,104.211158
Офис,"Иркутская обл., Иркутск, ул. Декабрьских Событий, 57",33250,950.0,35.0,административное здание,52.287599,104.300953
Другое,"Иркутская обл., Иркутск, Полярная ул., 95",55000,361.8421052631579,152.0,другой,52.334647,104.267563
Свободного назначения,"Иркутская обл., Иркутск, Байкальская ул., 124/3",25000,1250.0,20.0,жилой дом,52.262532,104.30982
Универсальное помещение,"Иркутская обл., Иркутск, Байкальская ул., 418",55000,1341.4634146341464,41.0,жилой дом,52.252913,104.380113
