,id,name,type,address,lon,lat,agr_type,rating
0,0,Славянка,Ресторан,"ул. Свердлова, 19, Иркутск, этаж 1",104.279364,52.2843,питание,4.2
1,1,ТРУ кост,Ресторан,"ул. Седова, 6, Иркутск",104.287581,52.275273,питание,4.3
2,2,Улус,Ресторан,"Дальневосточная ул., 158/2, Иркутск, этаж 1",104.32078,52.253615,питание,4.2
3,3,Broadway,Ресторан,"ул. Седова, 29, Иркутск",104.290924,52.27438,питание,4.4
4,4,Барселона,Караоке-клуб,"ул. Петрова, 64, Иркутск",104.300239,52.312743,питание,4.4
5,5,Аквариумы,Магазин аквариумов,"Братская ул., 2/1, Иркутск, этаж 2",104.35698,52.290407,магазины,4.4
6,6,Иркутский государственный цирк,Цирк,"Пролетарская ул., 13, Иркутск",104.287202,52.287623,культура,3.8
7,7,Квест Внутри,Квесты,"Советская ул., 176Б/1, Иркутск, этаж 2",104.340691,52.279667,развлечения,4.9
8,8,Том Ям,Кафе,"Верхняя наб., 145/16, Иркутск",104.310826,52.256568,питание,4.7
9,9,Франческо,Ресторан,"Дальневосточная ул., 110, Иркутск, этаж 1",104.314554,52.254866,питание,4.6
10,10,Пельмения,Ресторан,"Рабочая ул., 2А/4, ИркутскТЦ Премьер, этаж -1",104.282745,52.289307,питание,4.5
11,11,Миша,Ресторан,"ул. Седова, 30, ИркутскРайон Октябрьский, этаж 2",104.289931,52.273974,питание,4.3
12,12,Rio-grande,Ресторан,"Российская ул., 17Б, Иркутск",104.276495,52.286527,питание,4.6
13,13,Ель и Ребра,Ресторан,"ул. Свердлова, 5/2, Иркутск",104.276288,52.28287,питание,4.9
14,14,Мираж,Ресторан,"ул. Безбокова, 10А, Иркутск",104.314751,52.230809,питание,4.4
15,15,Plove,Ресторан,"Верхняя наб., 145/4, Иркутск",104.307047,52.257246,питание,4.3
16,16,Eterno,Ресторан,"ул. Ленина, 15, Иркутск",104.283631,52.279159,питание,4.4
17,17,Антрекот,Ресторан,"ул. Сухэ-Батора, 18, Иркутск, этаж 2",104.285867,52.282935,питание,4.3
18,18,Мангал,Ресторан,"ул. Безбокова, 1, стр. 1, Иркутск",104.315429,52.231547,питание,4.2
19,19,Paloma,Ресторан,"ул. Сухэ-Батора, 8, Иркутск, этаж 1",104.283157,52.28504,питание,4.1
20,20,Сморреброд,Бар,"ул. Тимирязева, 5, Иркутск, этаж 1",104.288483,52.27719,питание,4.9
21,21,Gold Grot,Ресторан,"ул. Полины Осипенко, 11, Иркутск",104.271203,52.287895,питание,4.4
22,22,Перчини,Ресторан,"Советская ул., 58/1, ИркутскМТЦ «НОВЫЙ», этаж 3",104.305464,52.275724,питание,4.2
23,23,Пекинская утка,Ресторан,"ул. Сухэ-Батора, 7, Иркутск, этаж 1",104.282078,52.287597,питание,4.1
24,24,Mesto Vstrechi,Ресторан,"ул. Чкалова, 15, Иркутскотель IRKUTSK CITY CENTER",104.273273,52.288129,питание,4.3
25,25,Фианит,Ресторан,"ул. Ширямова, 35, Иркутск",104.346756,52.256054,питание,4.4
26,26,Winkel Bier,Ресторан,"ул. Ширямова, 9, Иркутск, этаж 1",104.356875,52.275357,питание,4.0
27,27,Bier Haus,Ресторан,"ул. Грязнова, 1, Иркутск",104.285146,52.281951,питание,4.3
28,28,Грузинский дворик,Ресторан,"Строительный пер., 8/2, Иркутск",104.298371,52.271285,питание,4.3
29,29,Два барашка,Ресторан,"ул. Красного Восстания, 20, Иркутск",104.284547,52.27469,питание,4.3
30,30,Хмельное Подворье,Бар,"ул. Седова, 10, Иркутск",104.287827,52.275097,питание,4.6
31,31,Арлекино,Ресторан,"ул. Лермонтова, 136/2, Иркутск",104.277316,52.238769,питание,4.1
32,32,Амстел,Ресторан,"2-я Железнодорожная ул., 76, Иркутск, этаж -1",104.250573,52.278548,питание,4.2
33,33,Ботаника - Китайский ресторан,Ресторан,"Верхняя наб., 145/6, Иркутск",104.308077,52.256994,питание,0.0
34,34,Дом рыбака,Ресторан,"Партизанская ул., 47, Иркутск",104.304128,52.27937,питание,4.4
35,35,Культура,Кафе,"бул. Постышева, 41Б, Иркутск",104.311653,52.261671,питание,4.0
36,36,Andreano,Ресторан,"Верхняя наб., 10, Иркутск, этаж 2",104.289393,52.267517,питание,4.6
37,37,Шашлыкоff,Бар,"ул. Седова, 14/1, Иркутск",104.28841,52.274859,питание,4.4
38,38,Ривьера,Ресторан,"ул. Лыткина, 42А, Иркутск",104.31974,52.268047,питание,4.4
39,39,Мельник,Ресторан,"ул. Черных, 1, посёлок Молодёжный",104.412858,52.250086,питание,4.6
