title,price,normalizedPrice,formattedAddress,lat,lng
Свободного назначения,37500,1 210 ₽ в месяц за м²,"Иркутск, улица Сухэ-Батора, 7",52.28781509,104.2822418
"Здание 140 м2 и земля 4,2 сотки",119999,857 ₽ в месяц за м²,"Иркутск, улица Сухэ-Батора, 11А",52.28573416258898,104.28334810915766
"Универсальное помещение, 35 кв.м",42000,1 200 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Свердлова, 23А",52.284497,104.281747
"Офис, 78.8 м²",94560,14 400 ₽ в год за м²,"Иркутск, улица Марата, 22",52.285583,104.27731
"Свободного назначения, 13.1 м²",9825,750 ₽ в месяц за м²,"Иркутск, улица Марата, 22",52.285583,104.27731
"Офис, 78.8 м²",1100,13 200 ₽ в год за м²,"Иркутск, улица Марата, 22",52.285583,104.27731
"Свободного назначения, 40.7 м²",30525,750 ₽ в месяц за м²,"Иркутск, улица Марата, 22",52.285583,104.27731
Сдам помещение в центре 42 м²,65000,1 548 ₽ в месяц за м²,"Иркутск, улица Желябова, 3",52.28742218,104.2838669
Сдам в аренду помещение в центре S-213 м²,1200,1 200 ₽ в месяц за м²,"Иркутск, улица Желябова, 3",52.287423,104.283867
"Свободного назначения, 120 м²",200000,1 667 ₽ в месяц за м²,"Иркутск, улица Марата, 28",52.28492355,104.2777863
Торговая площадь,1100,11 ₽ в месяц за м²,"Иркутск, улица Свердлова, 22",52.28503036,104.2839127
"Первый этаж, большая входная группа, 65м2",109999,1 692 ₽ в месяц за м²,"Иркутск, Кооперативный переулок, 4",52.28793586584284,104.28394840215987
"Сдам офисное помещение, 100 м²",90000,10 800 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Марата, 34В",52.284123,104.277561
"Складское помещение, 180 кв.м",96000,533 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Сухэ-Батора, 13",52.284497,104.284541
"Офис, Торговля, Другое 159.4 м²",850,850 ₽ в месяц за м²,"Иркутск, Рабочая улица, 2А/4",52.28907895323359,104.28322228041083
"Офисное помещение, 1900 кв.м",2375000,15 000 ₽ в год за м²,"Иркутская обл., Иркутск, Рабочая ул., 2А",52.288888,104.283822
"Универсальное помещение, 2900 кв.м",3625000,1 250 ₽ в месяц за м²,"Иркутская обл., Иркутск, Рабочая ул., 2А",52.288888,104.283822
Свободного назначения,30000,857 ₽ в месяц за м²,"Иркутск, Черемховский переулок, 9В",52.28681183,104.275528
"Здание, 538.6 м²",1950,1 950 ₽ в месяц за м²,"Иркутск, улица Свердлова, 37",52.28634116587957,104.2860036397058
"Офис, 24.2 м²",14000,6 942 ₽ в год за м²,"Иркутск, улица Чкалова, 37",52.289263,104.277795
"Офис, 38.4 м²",1100,13 200 ₽ в год за м²,"Иркутск, улица Степана Разина, 27",52.28337461488324,104.27812651264999
"Помещение на 1 линии Сквер Кирова, 450 м²",600,600 ₽ в месяц за м²,"Иркутск, улица Чкалова, 36",52.288761,104.27669
"Офис, 34.8 м²",550,6 600 ₽ в год за м²,"Иркутск, улица Чкалова, 36",52.288756,104.276681
"Свободного назначения, 84 м²",95000,1 131 ₽ в месяц за м²,"Иркутск, улица Степана Разина, 19",52.28450394,104.2758713
"Парковка, Офис, Торговля, Другое 1 100 м²",317000,288 ₽ в месяц за м²,"Иркутск, Рабочая улица, 2А/3",52.2895780828416,104.28324221957396
"Универсальное помещение, 69 кв.м",70000,1 014 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Марата, 29",52.282883,104.279591
Офис,65000,6 783 ₽ в год за м²,"Иркутск, улица Свердлова, 30",52.28559494,104.286438
"Свободного назначения, 8 м²",16000,2 000 ₽ в месяц за м²,"Иркутск, улица Степана Разина, 26",52.28367615,104.2764282
"Офис, 58.2 м²",75660,15 600 ₽ в год за м²,"Иркутск, улица Горького, 36Б",52.284514,104.286302
"Офис, 17.6 м²",22880,15 600 ₽ в год за м²,"Иркутск, улица Горького, 36Б",52.284514,104.286302
"Офис, 20 м²",20000,12 000 ₽ в год за м²,"Иркутск, улица Свердлова, 11",52.283115,104.276851
"Офис, 160 м²",200000,15 000 ₽ в год за м²,"Иркутск, улица Горького, 40",52.28519208600981,104.28765983588556
"Здание с собственной парковкой в центре, 3620 м²",1400,0 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 19",52.282712,104.285323
"Торговая площадь, 30.46 м²",100000,3 283 ₽ в месяц за м²,"Иркутск, улица Свердлова, 36",52.28636,104.288269
"Торговые площади, 40 кв.м",1000,1 000 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Свердлова, 36",52.28636,104.288269
"Торговые площади, 45 кв.м",950,950 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Свердлова, 36",52.28636,104.288269
"Свободного назначения, 22 м²",15400,700 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Офис, 763.1 м²",457860,7 200 ₽ в год за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Общепит, 611 м²",274950,450 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Свободного назначения, 315 м²",441000,1 400 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Торговая площадь, 315 м²",441000,1 400 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Свободного назначения, 28 м²",19600,700 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Общепит, 763.1 м²",457860,600 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Свободного назначения, 1410 м²",775500,550 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Свободного назначения, 22 м²",15400,700 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Свободного назначения, 611 м²",274950,450 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Свободного назначения, 121 м²",363000,3 000 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Отдельностоящее здание, 350 кв.м",525000,1 500 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Горького, 42",52.285429,104.288476
"Отдельностоящее здание, 330 кв.м",412500,1 250 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Горького, 42",52.285429,104.288476
"Отдельностоящее здание, 180 кв.м",225000,1 250 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Горького, 42",52.285429,104.288476
"Свободного назначения, 31 м²",21700,700 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Общепит, место в гастро-пространстве от 8,5 кв.м",85000,10 000 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285429,104.288476
"Торговая площадь, 35 м²",24500,700 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.285423,104.288476
"Отдельностоящее здание, 252 кв.м",504000,2 000 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Горького, 12",52.28155,104.27951
"Офис, 70 м²",56000,9 600 ₽ в год за м²,"Иркутск, улица Степана Разина, 5",52.286618,104.272638
"Свободного назначения, 200 м²",230000,1 150 ₽ в месяц за м²,"Иркутск, улица Литвинова, 2",52.28424454,104.288063
"Свободного назначения, 31 м²",21700,700 ₽ в месяц за м²,"Иркутск, улица Горького, 42",52.28540039,104.2887344
"Офисы, 15 м², 32 м², 49 м², 51 м² собственник",900,10 800 ₽ в год за м²,"Иркутск, улица Степана Разина, 6",52.285869,104.272189
"Свободного назначения, 98.75 м²",1783,1 783 ₽ в месяц за м²,"Иркутск, Киевская улица, 1",52.282531,104.28649
"Первый этаж, отдельшый вход, 54 м2",89999,1 667 ₽ в месяц за м²,"Иркутск, улица 5-й Армии, 31",52.284836928154526,104.27237431697202
"Офис, 69 м²",55000,9 565 ₽ в год за м²,"Иркутская обл., Иркутск, ул. Ленина, 32",52.280966,104.28155
"Первый этаж, центр города",247500,1 500 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Богдана Хмельницкого, 2",52.282823,104.287523
"Свободного назначения, 189.7 м²",180215,950 ₽ в месяц за м²,"Иркутск, улица Карла Маркса, 26А",52.281374,104.284559
"В Центре, на Карла Маркса, Офис, 57 м²",57000,12 000 ₽ в год за м²,"Иркутск, улица Карла Маркса, 33/1",52.286453,104.28994
"Торговая площадь, 36 м²",54000,1 500 ₽ в месяц за м²,"Иркутск, улица 5-й Армии, 29",52.285528,104.271462
Аренда офисного помещения,80000,1 000 ₽ в месяц за м²,"Иркутск, Киевская улица, 3",52.28216553,104.2871094
"Свободного назначения, 214 м²",220000,1 028 ₽ в месяц за м²,"Иркутск, улица Богдана Хмельницкого, 5Б",52.282817,104.288242
Аренда на Урицкого от10 до 1000кв.м,800,800 ₽ в месяц за м²,"Иркутск, улица Урицкого, 3",52.285086797400474,104.29000306745907
Офис,11000,8 800 ₽ в год за м²,"Иркутск, улица Свердлова, 43А",52.28849792,104.2896194
"Торговые площади, 489.2 кв.м",587040,1 200 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Урицкого, 3",52.285021,104.290164
"Свободного назначения, 136.7 м²",50000,366 ₽ в месяц за м²,"Иркутск, улица 5-й Армии, 12",52.284656192765965,104.27129601852413
"Универсальное помещение, 298 кв.м",270000,906 ₽ в месяц за м²,"Иркутская обл., Иркутск, ул. Литвинова, 3",52.283836,104.28967
"Помещение на 1 линии, 300 м² ул. Литвинова",270000,900 ₽ в месяц за м²,"Иркутск, улица Литвинова, 3",52.283836,104.28967
